ID,RoleID,IconBootstrap,Content,ParentID,UrlLink
1,5,bi bi-house-door,Trang chủ,,/
2,5,bi bi-grid,Thể loại,,#
3,5,bi bi-trophy,Bảng xếp hạng,,#
4,5,bi bi-search,Tìm truyện,,/truyen/tim-kiem
5,5,bi bi-pencil-square,Tác giả,,/tac-gia
6,5,,Hành động,2,/the-loai/action
7,5,,Phiêu lưu,2,/the-loai/adventure
8,5,,Hài hước,2,/the-loai/comedy
9,5,,Tình cảm - Ngôn tình,2,/the-loai/romance
10,5,,Đam mỹ (BL),2,/the-loai/boys-love
11,5,,Bách hợp (GL),2,/the-loai/girls-love
12,5,,Fantasy - Giả tưởng,2,/the-loai/fantasy
13,5,,Khoa học viễn tưởng,2,/the-loai/sci-fi
14,5,,Kinh dị,2,/the-loai/horror
15,5,,Trinh thám,2,/the-loai/detective
16,5,,Học đường,2,/the-loai/school-life
17,5,,Đời thường,2,/the-loai/slice-of-life
18,5,,Xuyên không - Isekai,2,/the-loai/isekai
19,5,,Tu tiên - Huyền huyễn,2,/the-loai/xianxia
20,5,,Kiếm hiệp,2,/the-loai/martial-arts
21,5,,Siêu nhiên,2,/the-loai/supernatural
22,5,,Drama - Tâm lý,2,/the-loai/drama
23,5,,Sinh tồn,2,/the-loai/survival
24,5,,Game - VRMMO,2,/the-loai/vrmmo
25,5,,Thể thao,2,/the-loai/sports
26,5,,BXH tác giả,3,/bang-xep-hang/tac-gia
27,5,,BXH lượt xem,3,/bang-xep-hang/luot-xem
28,5,,Top ngày,3,/bang-xep-hang/top-ngay
29,5,,Top tuần,3,/bang-xep-hang/top-tuan
30,5,,Top tháng,3,/bang-xep-hang/top-thang
31,4,bi bi-person-circle,Hồ sơ,,/tai-khoan/ho-so
32,4,bi bi-gear,Tài khoản,,/tai-khoan/cai-dat
33,4,bi bi-envelope,Hộp thư,,/tin-nhan
34,4,bi bi-heart,Theo dõi,,/tu-truyen/theo-doi
35,4,bi bi-collection,Thư viện,,/tu-truyen/thu-vien
36,4,bi bi-bookmark,Bookmarks,,/tu-truyen/bookmarks
37,4,bi bi-card-list,Danh sách,,/tu-truyen/danh-sach
38,4,bi bi-slash-circle,Chặn,,/tai-khoan/chan
39,4,bi bi-box-arrow-right,Đăng xuất,,/auth/login
40,1,bi bi-person-circle,Hồ sơ,,/tai-khoan/ho-so
41,1,bi bi-gear,Tài khoản,,/tai-khoan/cai-dat
42,1,bi bi-envelope,Hộp thư,,/tin-nhan
43,1,bi bi-speedometer2,Vào màn hình Admin,,/admin/dashboard
44,1,bi bi-box-arrow-right,Đăng xuất,,/auth/login
45,2,bi bi-person-circle,Hồ sơ,,/tai-khoan/ho-so
46,2,bi bi-gear,Tài khoản,,/tai-khoan/cai-dat
47,2,bi bi-envelope,Hộp thư,,/tin-nhan
48,2,bi bi-shield-check,Vào màn hình Moderator,,/moderator/dashboard
49,2,bi bi-box-arrow-right,Đăng xuất,,/auth/login
50,3,bi bi-person-circle,Hồ sơ,,/tai-khoan/ho-so
51,3,bi bi-gear,Tài khoản,,/tai-khoan/cai-dat
52,3,bi bi-envelope,Hộp thư,,/tin-nhan
53,3,bi bi-heart,Theo dõi,,/tu-truyen/theo-doi
54,3,bi bi-collection,Thư viện,,/tu-truyen/thu-vien
55,3,bi bi-bookmark,Bookmarks,,/tu-truyen/bookmarks
56,3,bi bi-card-list,Danh sách,,/tu-truyen/danh-sach
57,3,bi bi-slash-circle,Chặn,,/tai-khoan/chan
58,3,bi bi-journal-richtext,Vào màn hình Tác giả,,/author/dashboard
59,3,bi bi-box-arrow-right,Đăng xuất,,/auth/login
